0.00       0.0     0.5     1.0
-10.000  -1.5841 -1.5841 -1.5841
 -9.000  -1.5097 -1.5097 -1.5097
 -8.000  -1.4708 -1.4708 -1.4708
 -7.000  -1.4369 -1.4369 -1.4369
 -6.000  -1.3981 -1.3981 -1.3981
 -5.000  -1.3534 -1.3534 -1.3534
 -4.000  -1.2817 -1.2817 -1.2817
 -3.000  -1.1951 -1.1951 -1.1951
 -2.000  -1.0965 -1.0965 -1.0965
 -1.000  -1.0028 -1.0028 -1.0028
  0.000  -0.8918 -0.8918 -0.8918
  1.000  -0.7851 -0.7851 -0.7851
  2.000  -0.6641 -0.6641 -0.6641
  4.000  -0.4250 -0.4250 -0.4250
  5.000  -0.3100 -0.3100 -0.3100
  6.000  -0.2035 -0.2035 -0.2035
  7.000  -0.0892 -0.0892 -0.0892
 10.000   0.3043  0.3043  0.3043
