   0.0    0.0      0.5         1.0
 -20.000 -0.7919  -0.7919     -0.7919   
 -18.000 -1.0424  -1.0424     -1.0424   
 -17.000 -1.1246  -1.1246     -1.1246   
 -16.000 -1.1511  -1.1511     -1.1511   
 -15.000 -1.1569  -1.1569     -1.1569   
 -14.000 -1.1518  -1.1518     -1.1518   
 -13.000 -1.1193  -1.1193     -1.1193   
 -12.000 -1.0716  -1.0716     -1.0716   
 -11.000 -1.0199  -1.0199     -1.0199   
 -10.000 -0.9648  -0.9648     -0.9648   
  -9.000 -0.9181  -0.9181     -0.9181   
  -8.000 -0.8235  -0.8235     -0.8235   
  -7.000 -0.7122  -0.7122     -0.7122   
  -6.000 -0.6239  -0.6239     -0.6239   
  -5.000 -0.5450  -0.5450     -0.5450   
  -4.000 -0.4481  -0.4481     -0.4481   
  -3.000 -0.3380  -0.3380     -0.3380   
  -2.000 -0.2271  -0.2271     -0.2271   
  -1.000 -0.1139  -0.1139     -0.1139   
   0.000 -0.0000  -0.0000     -0.0000   
   1.000  0.1139   0.1139      0.1139   
   2.000  0.2271   0.2271      0.2271   
   3.000  0.3380   0.3380      0.3380   
   4.000  0.4481   0.4481      0.4481   
   5.000  0.5450   0.5450      0.5450   
   6.000  0.6240   0.6240      0.6240   
   7.000  0.7123   0.7123      0.7123   
   8.000  0.8236   0.8236      0.8236   
   9.000  0.9182   0.9182      0.9182   
  10.000  0.9650   0.9650      0.9650   
  11.000  1.0203   1.0203      1.0203   
  12.000  1.0721   1.0721      1.0721   
  13.000  1.1200   1.1200      1.1200   
  14.000  1.1526   1.1526      1.1526   
  15.000  1.1579   1.1579      1.1579   
  16.000  1.1523   1.1523      1.1523   
  17.000  1.1253   1.1253      1.1253   
  18.000  1.0428   1.0428      1.0428   
