0.0      0.0         0.5          1.0
-31.327   0.63856     0.63856      0.63856
-29.556   0.57313     0.57313      0.57313
-27.578   0.50764     0.50764      0.50764
-26.605   0.46340     0.46340      0.46340
-24.489   0.42505     0.42505      0.42505
-23.019   0.36600     0.36600      0.36600
-19.992   0.31480     0.31480      0.31480
-16.276   0.23828     0.23828      0.23828
-15.191   0.20027     0.20027      0.20027
-13.818   0.14544     0.14544      0.14544
-12.316   0.11148     0.11148      0.11148
-11.751   0.069461    0.069461     0.069461
-10.368   0.022990    0.022990     0.022990
-6.8859   0.0051044   0.0051044    0.0051044
-1.7496    0.0041455   0.0041455    0.0041455
0.00000   0.00000    0.000        0.000 
1.7496    0.0041455   0.0041455    0.0041455
6.8859   0.0051044   0.0051044    0.0051044
10.368   0.022990    0.022990     0.022990
11.751   0.069461    0.069461     0.069461
12.316   0.11148     0.11148      0.11148
13.818   0.14544     0.14544      0.14544
15.191   0.20027     0.20027      0.20027
16.276   0.23828     0.23828      0.23828
19.992   0.31480     0.31480      0.31480
23.019   0.36600     0.36600      0.36600
24.489   0.42505     0.42505      0.42505
26.605   0.46340     0.46340      0.46340
27.578   0.50764     0.50764      0.50764
29.556   0.57313     0.57313      0.57313
31.327   0.63856     0.63856      0.63856
