 0.000   0.0000   0.5000   1.0000
-8.000  -0.0498  -0.0498  -0.0498 
-7.000  -0.0802  -0.0802  -0.0802 
-6.000   0.0297   0.0297   0.0297 
-5.000   0.1418   0.1418   0.1418 
-4.000   0.2548   0.2548   0.2548 
-3.000   0.3677   0.3677   0.3677 
-2.000   0.4799   0.4799   0.4799 
-1.000   0.5909   0.5909   0.5909 
 0.000   0.7014   0.7014   0.7014 
 2.000   0.9152   0.9152   0.9152 
 3.000   1.0244   1.0244   1.0244 
 4.000   1.1326   1.1326   1.1326 
 5.000   1.2400   1.2400   1.2400 
 6.000   1.3421   1.3421   1.3421 
 7.000   1.4275   1.4275   1.4275 
 8.000   1.4660   1.4660   1.4660 
 9.000   1.5218   1.5218   1.5218 
10.000   1.5714   1.5714   1.5714 
