 0.0    0.0      0.5       1.0
-9.000 -0.3187  -0.3187   -0.3187   
-8.000 -0.3361  -0.3361   -0.3361   
-7.000 -0.4055  -0.4055   -0.4055   
-5.000 -0.2664  -0.2664   -0.2664   
-4.000 -0.1377  -0.1377   -0.1377   
-3.000  0.0173   0.0173    0.0173   
-2.000  0.1610   0.1610    0.1610   
-1.000  0.2727   0.2727    0.2727   
 0.000  0.4697   0.4697    0.4697   
 1.000  0.5772   0.5772    0.5772   
 2.000  0.6861   0.6861    0.6861   
 3.000  0.7929   0.7929    0.7929   
 4.000  0.8964   0.8964    0.8964   
 5.000  1.0004   1.0004    1.0004   
 6.000  1.0996   1.0996    1.0996   
 7.000  1.1959   1.1959    1.1959   
 8.000  1.2721   1.2721    1.2721   
 9.000  1.3036   1.3036    1.3036   
10.000  1.3223   1.3223    1.3223   
11.000  1.3361   1.3361    1.3361   
12.000  1.3207   1.3207    1.3207   
13.000  1.2743   1.2743    1.2743   
14.000  1.2287   1.2287    1.2287   
15.000  1.1931   1.1931    1.1931   
16.000  1.1405   1.1405    1.1405   
17.000  1.0591   1.0591    1.0591   
18.000  1.0640   1.0640    1.0640   
19.000  1.0787   1.0787    1.0787   
20.000  1.1069   1.1069    1.1069   
